C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00000.wav:['Mindtraveller', 'Falconer', 'Falconer', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00001.wav:['Beyond The Black Hole', 'Gamma Ray', 'Somewhere Out In Space', 1997]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00002.wav:['Flight Of Icarus', 'Iron Maiden', 'Edward The Great (The Greatest Hits)', 2002]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00003.wav:['Metal Thrashing Mad', 'Anthrax', 'Fistful Of Anthrax', 1983]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00004.wav:['Of Chaos And Eternal Night', 'Dark Tranquillity', 'Of Chaos And Eternal Night', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00005.wav:['Wasted Years', 'Iron Maiden', 'The First Ten Years [Box Set]', 1994]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00006.wav:['Theatre Of Pain', 'Blind Guardian', 'Somewhere Far Beyond (Deluxe Edition) (Remastered)', 2018]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00007.wav:['Die By My Hand', 'Coroner', 'No More Color', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00008.wav:['Balls To The Walls', 'Steve Austin', 'Stone Cold Metal', 1998]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00010.wav:['My Faeryland Forgotten', 'Dark Tranquillity', 'Skydancer', 1993]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00011.wav:['Witching Hour (Feat. Machine Head)', 'Slayer', 'Live Intrusion', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00012.wav:['Away, Delight, Away', 'Dark Tranquillity', 'Of Chaos And Eternal Night', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00013.wav:['Of Chaos And Eternal Night', 'Dark Tranquillity', 'Of Chaos And Eternal Night', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00014.wav:['With The Flaming Shades Of Fall', 'Dark Tranquillity', 'Of Chaos And Eternal Night', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00015.wav:['Nightfall By The Shore Of Time', 'Dark Tranquillity', 'Skydancer', 1993]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00016.wav:['Disciple', 'Slayer', 'God Hates Us All', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00017.wav:['Angel Of Death', 'Slayer', 'Reign In Blood', 1986]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00018.wav:['Darkness Of Christ', 'Slayer', 'God Hates Us All', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00019.wav:['Piece By Piece', 'Slayer', 'Reign In Blood', 1986]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00020.wav:['Necrophobic', 'Slayer', 'Reign In Blood', 1986]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00021.wav:['I`m Eighteen (Alice Cooper)', 'Anthrax', 'Covers', 2008]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00022.wav:['Crazy Train', 'Ozzy Osbourne', 'Blizzard Of Ozz', 1980]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00023.wav:['Oakenshield', 'Elvenking', 'Red Silent Tides', 2010]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00024.wav:['Kinescope', 'Jacob`s Dream', 'Jacob`s Dream', 2000]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00025.wav:['Megadeth - Peace Sells', 'Time Life Music (CD Series)', 'Hard & Heavy: Nothin` But A Good Time', 2008]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00026.wav:['Across The River', 'Anthrax', 'Fistful Of Anthrax', 1983]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00027.wav:['Anthrax - Got The Time', 'Driven By (CD Series)', 'Rock - 100 Essential Driving Songs', 2018]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00028.wav:['Motorhead - Ace Of Spades', 'Time Life Music (CD Series)', 'Hard & Heavy: Talk Dirty To Me', 2008]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00029.wav:['Glamour Boys', 'Living Colour', 'Vivid', 1988]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00030.wav:['Trust', 'Megadeth', 'Cryptic Writings', 1997]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00031.wav:['Born To Raise Hell', 'Motorhead', 'Bastards', 1993]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00032.wav:['Blackout', 'Scorpions', 'Bad For Good: The Very Best Of', 2002]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00033.wav:['Lemmy - Enter Sandman', 'Metallica', 'A Tribute To The Black Album', 2011]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00034.wav:['The Trooper', 'Iron Maiden', 'Ed Hunter', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\metal\metal.00035.wav:['Slayer - Bloodline', 'Dracula 2000', 'Soundtrack', 2000]
